FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
31009,US,WPNE893,8,6123.1,30
31010,US,WPNE893,9,5945.2,30
31011,US,WPNE893,10,5974.85,30
31012,US,WPNE893,11,6034.15,30
31013,US,WPNE893,11,6093.45,30
31014,US,WPNE893,12,6004.5,30
31015,US,WPNE893,12,6123.1,30
31016,US,WPNE893,13,6675,10
31017,US,WPNE893,15,6645,10
31018,US,WPNE895,1,6825,5
31019,US,WPNE922,4,6093.45,30
31020,US,WPNF212,6,5974.85,30
31021,US,WPNF212,6,6093.45,30
31022,US,WPNF212,7,5974.85,30
31023,US,WPNF212,7,6063.8,30
31024,US,WPNF215,2,5974.85,30
31025,US,WPNF215,4,6093.45,30
31026,US,WPNF215,6,5974.85,30
31027,US,WPNF235,4,6226.89,30
31028,US,WPNF235,5,6685,30
31029,US,WPNF271,4,6375.14,30
31030,US,WPNF271,5,6315.84,30
31031,US,WPNF277,1,6034.15,30
31032,US,WPNF873,1,6655,10
31033,US,WPNF873,2,6585,10
31034,US,WPNF874,1,6835,10
31035,US,WPNF874,2,6745,10
31036,US,WPNF874,3,6865,10
31037,US,WPNG212,1,6790,4.94
31038,US,WPNG212,2,6197.24,30
31039,US,WPNG213,1,6820,4.94
31040,US,WPNG213,2,6286.19,30
31041,US,WPNG214,1,6780,4.94
31042,US,WPNG215,1,6630,4.94
31043,US,WPNG215,2,6063.8,30
31044,US,WPNG216,1,6197.24,30
31045,US,WPNG216,2,6815,10
31046,US,WPNG216,3,6197.24,30
31047,US,WPNG216,4,6286.19,30
31048,US,WPNG217,1,6660,4.94
31049,US,WPNG217,2,6063.8,30
31050,US,WPNG217,3,6093.45,30
31051,US,WPNG218,2,6226.89,30
31052,US,WPNG218,3,6315.84,30
31053,US,WPNG218,4,6755.625,3.75
31054,US,WPNG218,5,6655,30
31055,US,WPNG218,6,6685,30
31056,US,WPNG219,1,5974.85,30
31057,US,WPNG219,2,6815,30
31058,US,WPNG220,1,6605,4.94
31059,US,WPNG221,1,6805,10
31060,US,WPNG221,2,6835,10
31061,US,WPNG221,3,6256.54,30
31062,US,WPNG221,4,6315.84,30
31063,US,WPNG222,1,6620,4.94
31064,US,WPNG222,1,6675,10
31065,US,WPNG222,2,6605,10
31066,US,WPNG222,2,6645,4.94
31067,US,WPNG222,3,6034.15,30
31068,US,WPNG222,4,6004.5,30
31069,US,WPNG223,1,6765,10
31070,US,WPNG223,1,6805,4.94
31071,US,WPNG223,2,6286.19,30
31072,US,WPNG237,5,6675,10
31073,US,WPNG237,6,6755,10
31074,US,WPNG237,7,6795,30
31075,US,WPNG238,2,6640.625,3.75
31076,US,WPNG238,3,6595,10
31077,US,WPNG238,5,6785,10
31078,US,WPNG246,1,5974.85,30
31079,US,WPNG246,2,6034.15,30
31080,US,WPNG248,1,6226.89,30
31081,US,WPNG248,2,6286.19,30
31082,US,WPNG248,4,6123.1,30
31083,US,WPNG248,5,6725,30
31084,US,WPNG248,6,6093.45,30
31085,US,WPNG248,7,6286.19,30
31086,US,WPNG248,8,6123.1,30
31087,US,WPNG248,9,6093.45,30
31088,US,WPNG251,1,6345.49,30
31089,US,WPNG251,2,6835,10
31090,US,WPNG251,3,6745,10
31091,US,WPNG251,4,6745,5
31092,US,WPNG251,5,6815.625,3.75
31093,US,WPNG251,6,6791.25,2.5
31094,US,WPNG263,1,6655,4.94
31095,US,WPNG263,4,6063.8,30
31096,US,WPNG263,5,5974.85,30
31097,US,WPNG263,6,6615,10
31098,US,WPNG263,7,5945.2,30
31099,US,WPNG263,8,6152.75,30
31100,US,WPNG267,3,6675,10
31101,US,WPNG270,1,6795,4.94
31102,US,WPNG270,2,6755,10
31103,US,WPNG275,2,6835,10
31104,US,WPNG275,3,6152.75,30
31105,US,WPNG275,4,6375.14,30
31106,US,WPNG275,5,6152.75,30
31107,US,WPNG276,2,6595,10
31108,US,WPNG277,1,6345.49,30
31109,US,WPNG277,3,6315.84,30
31110,US,WPNG277,5,6585.625,3.75
31111,US,WPNG277,6,6226.89,30
31112,US,WPNG277,7,6197.24,30
31113,US,WPNG277,8,6226.89,30
31114,US,WPNG277,9,6197.24,30
31115,US,WPNG277,10,6226.89,30
31116,US,WPNG277,13,6226.89,30
31117,US,WPNG277,14,6345.49,30
31118,US,WPNG277,15,6315.84,30
31119,US,WPNG277,16,6685,30
31120,US,WPNG277,17,6197.24,30
31121,US,WPNG277,18,6585,10
31122,US,WPNG277,19,6685,30
31123,US,WPNG279,4,6197.24,30
31124,US,WPNG279,5,6197.24,30
31126,US,WPNG322,10,6625,30
31127,US,WPNG322,11,5945.2,30
31128,US,WPNG322,11,6004.5,30
31129,US,WPNG322,12,6595,30
31130,US,WPNG322,13,5974.85,30
31131,US,WPNG322,13,6152.75,30
31132,US,WPNG326,12,6034.15,30
31133,US,WPNG326,15,6034.15,30
31134,US,WPNG326,16,5945.2,30
31135,US,WPNG326,16,6004.5,30
31136,US,WPNG326,17,6034.15,30
31137,US,WPNG326,17,6093.45,30
31138,US,WPNG327,3,6375.14,30
31139,US,WPNG327,4,6286.19,30
31140,US,WPNG327,5,6226.89,30
31141,US,WPNG335,4,5945.2,30
31142,US,WPNG335,8,6123.1,30
31143,US,WPNG335,9,6093.45,30
31144,US,WPNG335,16,6063.8,30
31145,US,WPNG335,20,5974.85,30
31146,US,WPNG335,21,5974.85,30
31147,US,WPNG335,22,6555,30
31148,US,WPNG335,23,6034.15,30
31149,US,WPNG345,16,6093.45,30
31150,US,WPNG345,18,6123.1,30
31151,US,WPNG345,19,6034.15,30
31152,US,WPNG345,20,6063.8,30
31153,US,WPNG345,21,6004.5,30
31154,US,WPNG345,21,6755,30
31155,US,WPNG345,22,6725,30
31156,US,WPNG348,11,6685,30
31157,US,WPNG348,12,6595,30
31158,US,WPNG356,1,6141.014,3.75
31159,US,WPNG356,2,6120.63,5
31160,US,WPNG356,3,6226.89,30
31161,US,WPNG356,4,6093.45,30
31162,US,WPNG356,5,6745,30
31163,US,WPNG356,6,6700,5
31164,US,WPNG356,7,6256.54,30
31165,US,WPNG356,8,6765,10
31166,US,WPNG356,9,6785,30
31167,US,WPNG356,10,6063.8,30
31168,US,WPNG356,11,6063.8,30
31169,US,WPNG356,12,5945.2,30
31170,US,WPNG356,13,6725,30
31171,US,WPNG356,14,6063.8,30
31172,US,WPNG356,17,6725,30
31173,US,WPNG356,18,6815,30
31174,US,WPNG356,21,6152.75,30
31175,US,WPNG356,22,6123.1,30
31176,US,WPNG356,25,6034.15,27.4
31177,US,WPNG356,26,6063.8,27.4
31178,US,WPNG398,1,6800,5
31179,US,WPNG398,2,6825,10
31180,US,WPNG398,3,6750,5
31181,US,WPNG399,1,6640,5
