FSID,Region,Callsign,Path Number,Center Frequency (MHz),Bandwidth (MHz)
1,US,KAC57,1,6635,10
2,US,KAC57,2,6675,10
3,US,KAC75,1,6785,10
4,US,KAC75,2,6865,10
5,US,KAC75,3,6755,10
6,US,KAC75,4,6063.8,30
7,US,KAC75,4,6123.1,30
8,US,KAC75,5,5974.85,30
9,US,KAC75,5,6034.15,30
10,US,KAC75,6,6725,30
11,US,KAC75,6,6785,30
12,US,KAC88,1,6705,10
13,US,KAC88,2,6635,10
14,US,KAC88,3,6226.89,30
15,US,KAC88,3,6286.19,30
16,US,KAC88,4,6345.49,30
17,US,KAC88,4,6404.79,30
18,US,KAC93,1,6605,10
19,US,KAC93,2,6286.19,30
20,US,KAC93,4,6123.1,30
21,US,KAC93,5,6286.19,30
22,US,KAC93,5,6345.49,30
23,US,KAC93,6,5945.2,30
24,US,KAC93,6,6004.5,30
25,US,KAC94,1,6034.15,30
26,US,KAC94,2,6063.8,30
27,US,KAC94,3,6004.5,30
28,US,KAC94,3,6063.8,30
29,US,KAC94,4,6034.15,30
30,US,KAC94,4,6093.45,30
31,US,KAD98,1,6315.84,30
32,US,KAD98,2,6256.54,30
33,US,KAD98,3,6226.89,30
34,US,KAD98,3,6286.19,30
35,US,KAD98,4,6256.54,30
36,US,KAD98,4,6315.84,30
37,US,KAE31,3,6286.19,30
38,US,KAE31,4,6315.84,30
39,US,KAE32,3,6063.8,30
40,US,KAE32,4,6152.75,30
41,US,KAE34,3,6404.79,30
42,US,KAE34,4,6286.19,30
43,US,KAE36,3,6034.15,30
44,US,KAE36,4,6063.8,30
45,US,KAE60,1,6004.5,30
46,US,KAE60,2,5945.2,30
47,US,KAE60,3,6063.8,30
48,US,KAE60,3,6123.1,30
49,US,KAE60,4,5974.85,30
50,US,KAE60,4,6034.15,30
51,US,KAG91,2,6034.15,30
52,US,KAG96,1,6755,10
53,US,KAI25,1,6835,10
54,US,KAI25,2,6197.24,30
55,US,KAI25,3,6286.19,30
56,US,KAI25,4,6286.19,30
57,US,KAI25,4,6345.49,30
58,US,KAI25,5,6315.84,30
59,US,KAI25,5,6375.14,30
60,US,KAI64,4,6093.45,30
61,US,KAI64,6,6152.75,30
62,US,KAI65,1,6665,10
63,US,KAI65,2,6625,10
64,US,KAI65,3,6197.24,30
65,US,KAI65,4,6315.84,30
66,US,KAI65,5,6315.84,30
67,US,KAI65,5,6375.14,30
68,US,KAI65,6,6226.89,30
69,US,KAI65,6,6286.19,30
70,US,KAI65,7,6197.24,30
71,US,KAI65,7,6256.54,30
72,US,KAI65,8,6555,30
73,US,KAI65,8,6625,30
74,US,KAI99,1,6805,10
75,US,KAI99,2,6835,10
76,US,KAI99,3,6825,10
77,US,KAI99,4,5945.2,30
78,US,KAI99,4,6004.5,30
79,US,KAJ30,1,6315.84,30
80,US,KAJ30,2,6197.24,30
81,US,KAJ30,4,6197.24,30
82,US,KAJ30,4,6256.54,30
83,US,KAJ30,5,6315.84,30
84,US,KAJ30,5,6375.14,30
85,US,KAL27,1,6590.625,3.75
86,US,KAL27,2,6615.625,3.75
87,US,KAL30,1,6685,10
88,US,KAL30,2,6665,10
89,US,KAL31,1,6825,10
90,US,KAL31,2,6805,10
91,US,KAL31,3,6795,5
92,US,KAL31,4,6865.625,3.75
93,US,KAL32,1,6750.625,3.75
94,US,KAL32,2,6845,10
95,US,KAL32,3,6810.625,3.75
96,US,KAL32,4,6865,10
97,US,KAN25,1,5974.85,30
98,US,KAN25,1,6093.45,30
99,US,KAN25,1,6152.75,30
100,US,KAN25,2,6034.15,30
101,US,KAN25,2,6152.75,30
102,US,KAN25,4,6004.5,30
103,US,KAN25,5,6835,10
104,US,KAN32,4,6375.14,30
105,US,KAN32,5,6345.49,30
106,US,KAN32,5,6375.14,30
107,US,KAN32,5,6404.79,30
108,US,KAN32,6,6226.89,30
109,US,KAN63,2,6315.84,30
110,US,KAN64,2,6665,10
111,US,KAO69,1,6825,5
112,US,KAO69,2,6775,5
113,US,KAP30,4,6815,10
114,US,KAP30,6,6755,10
115,US,KAP30,7,6715,10
116,US,KAP30,9,6004.5,30
117,US,KAP30,10,6123.1,30
118,US,KAP30,17,5974.85,30
119,US,KAP30,17,6034.15,30
120,US,KAP30,18,5945.2,30
121,US,KAP30,18,6063.8,30
122,US,KAP30,19,6725,30
123,US,KAP30,20,6152.75,30
124,US,KAP30,22,6063.8,30
125,US,KAP31,1,6605,10
126,US,KAP31,2,6655,10
127,US,KAP31,3,6625,10
128,US,KAP31,4,6595,10
129,US,KAP31,5,6615,10
130,US,KAP31,6,6545,10
131,US,KAP31,7,6665,10
132,US,KAP31,8,6375.14,30
133,US,KAP31,9,6635,10
134,US,KAP31,10,6615,10
135,US,KAP31,11,6197.24,30
136,US,KAP31,11,6315.84,30
137,US,KAP31,12,6555,30
138,US,KAP31,13,6595,30
139,US,KAP31,14,6555,30
140,US,KAP31,15,6315.84,30
141,US,KAP31,16,6315.84,30
142,US,KAP31,17,6226.89,30
143,US,KAP31,19,6645,10
144,US,KAP40,2,6256.54,30
145,US,KAP40,4,6345.49,30
146,US,KAP40,6,6345.49,30
147,US,KAP40,7,6256.54,30
148,US,KAP41,3,5974.85,30
149,US,KAP41,4,6093.45,30
150,US,KAP41,5,6593.75,2.5
151,US,KAP41,6,6093.45,30
152,US,KAP41,7,6063.8,30
153,US,KAP42,1,6685,10
154,US,KAP42,2,6635,10
155,US,KAP42,3,6315.84,30
156,US,KAP42,4,6123.1,30
157,US,KAP43,2,6545,10
158,US,KAP43,3,6805,10
159,US,KAP43,5,6825,10
160,US,KAP43,7,6845,10
161,US,KAP43,8,6855,10
162,US,KAP43,9,6785,30
163,US,KAP43,10,6063.8,30
164,US,KAQ96,2,6815,10
165,US,KAQ96,3,6845,10
166,US,KAQ96,4,6715,10
167,US,KAQ96,5,6815,10
168,US,KAQ96,6,6765,10
169,US,KAQ96,6,6855,10
170,US,KAQ96,7,6404.79,30
171,US,KAQ96,8,6345.49,30
172,US,KAQ96,9,6375.14,30
173,US,KAQ97,1,6286.19,30
174,US,KAQ97,2,6655,10
175,US,KAQ97,3,6375.14,30
176,US,KAQ97,4,6655,10
177,US,KAQ97,5,6605,10
178,US,KAQ97,5,6695,10
179,US,KAQ97,6,6315.84,30
180,US,KAT83,3,6595.625,3.75
182,US,KAT84,3,6755.625,3.75
183,US,KAT99,2,5960.025,60
187,US,KAU45,10,5945.2,30
188,US,KAV41,1,6795,10
189,US,KAV41,4,5945.2,30
190,US,KAV41,5,6845,10
191,US,KAV41,7,6345.49,30
192,US,KAV41,9,6825,10
193,US,KAV41,11,6286.19,30
194,US,KAV41,12,6404.79,30
195,US,KAV41,13,6375.14,30
196,US,KAV41,14,6755,30
197,US,KAV41,15,6725,30
198,US,KAV42,2,6735,10
199,US,KAV42,3,6845,10
200,US,KAV43,1,6685,10
201,US,KAV43,2,6665,10
202,US,KAV43,4,6034.15,30
203,US,KAV43,5,6093.45,30
204,US,KAV43,6,6123.1,30
205,US,KAV43,7,6063.8,30
206,US,KAV43,8,6123.1,30
207,US,KAX33,1,6034.15,30
208,US,KAX33,1,6093.45,30
209,US,KAY52,5,6004.5,30
210,US,KAY52,6,6034.15,30
211,US,KAY52,6,6093.45,30
212,US,KAY92,2,6615,10
213,US,KAY92,3,6152.75,30
214,US,KAY98,1,6650.625,3.75
215,US,KAZ30,1,6765,10
216,US,KAZ30,5,6765,10
217,US,KAZ30,6,6226.89,30
218,US,KAZ31,2,6775,10
219,US,KAZ31,4,6745,10
220,US,KAZ32,2,6605,10
221,US,KAZ32,3,6615,10
222,US,KAZ33,2,6765,10
223,US,KAZ33,3,6785,10
224,US,KAZ34,1,6585,10
225,US,KAZ34,2,6625,10
226,US,KAZ34,3,6093.45,30
227,US,KAZ37,1,6745,10
228,US,KAZ38,1,6625,10
229,US,KAZ38,2,6585,10
230,US,KAZ39,1,6745,10
231,US,KAZ39,3,6785,10
232,US,KAZ39,4,6845,10
233,US,KAZ39,5,6345.49,30
234,US,KAZ39,6,6256.54,30
235,US,KAZ40,3,6645,10
236,US,KAZ43,3,6865,10
237,US,KAZ43,6,6615,10
238,US,KAZ43,8,6845,30
239,US,KAZ43,9,6555,30
240,US,KAZ43,10,6123.1,30
241,US,KAZ44,2,6685,10
242,US,KAZ44,3,6665,10
243,US,KAZ44,7,6585,10
244,US,KAZ45,1,6805,10
245,US,KAZ45,2,6825,10
246,US,KAZ45,5,6286.19,30
247,US,KAZ45,6,6345.49,30
248,US,KAZ46,2,6645,10
249,US,KAZ46,3,6695,10
250,US,KAZ46,8,6595,10
251,US,KAZ46,9,6595,10
252,US,KAZ46,10,6093.45,30
253,US,KAZ46,11,6063.8,30
254,US,KAZ47,1,6845,10
255,US,KAZ47,2,6855,10
256,US,KAZ47,5,6315.84,30
257,US,KAZ47,6,6226.89,30
258,US,KAZ48,1,6685,10
259,US,KAZ48,2,6675,10
260,US,KAZ49,1,6815,10
261,US,KAZ49,2,6835,10
262,US,KAZ49,3,6625,10
263,US,KAZ49,4,6345.49,30
264,US,KAZ49,6,6345.49,30
265,US,KAZ49,7,6286.19,30
266,US,KAZ95,1,6063.8,30
267,US,KBA31,1,6655,10
268,US,KBA31,3,6004.5,30
269,US,KBA31,4,6093.45,30
270,US,KBA31,5,6093.45,30
271,US,KBA31,6,6123.1,30
272,US,KBA32,1,6825,10
273,US,KBA32,3,6197.24,30
274,US,KBA32,4,6256.54,30
275,US,KBA32,5,6375.14,30
276,US,KBA32,6,6845,30
277,US,KBA33,2,6595,10
278,US,KBA33,4,5974.85,30
279,US,KBA33,5,5945.2,30
280,US,KBA33,6,6685,30
281,US,KBA34,1,6585,10
282,US,KBA34,2,6705,10
283,US,KBA34,4,6093.45,30
284,US,KBA34,5,6063.8,30
285,US,KBA35,2,6605,10
286,US,KBA35,6,6685,10
287,US,KBA35,7,6745,10
288,US,KBA35,8,6345.49,30
289,US,KBA36,1,6765,10
290,US,KBA36,2,6725,10
291,US,KBA36,3,6805,10
292,US,KBA36,4,6845,10
293,US,KBA37,2,6645,10
294,US,KBA37,3,6685,10
295,US,KBA37,6,6555,10
296,US,KBA38,2,6785,10
297,US,KBA38,4,6845,10
298,US,KBA39,1,6615,10
299,US,KBA39,2,6625,10
300,US,KBA40,1,6645,10
301,US,KBA40,4,6775,10
302,US,KBA40,5,6795,10
303,US,KBA40,8,6004.5,30
304,US,KBA40,9,6063.8,30
305,US,KBA41,1,6815,10
306,US,KBA41,2,6765,10
307,US,KBA41,5,6845,30
308,US,KBA41,6,5945.2,30
309,US,KBA42,1,6785,10
310,US,KBA42,2,6675,10
311,US,KBA43,1,6765,10
312,US,KBA43,2,6835,10
313,US,KBA43,7,6286.19,30
314,US,KBA43,8,6375.14,30
315,US,KBA43,9,6845,30
316,US,KBA44,6,6685,10
317,US,KBA44,8,6605,10
318,US,KBA44,10,6034.15,30
319,US,KBA44,11,6625,30
320,US,KBA45,3,6765,10
321,US,KBB25,1,6775.625,3.75
322,US,KBB26,1,6705.625,3.75
323,US,KBB26,2,6550.625,3.75
324,US,KBB27,1,6730.625,3.75
325,US,KBB27,2,6795.625,3.75
326,US,KBB61,1,6063.8,30
327,US,KBB61,2,6093.45,30
328,US,KBB61,3,6152.75,30
329,US,KBB61,4,6034.15,30
330,US,KBB61,5,6595,5
331,US,KBB97,1,6715,10
332,US,KBB97,2,6815,10
333,US,KBB98,1,6845,10
334,US,KBB98,2,6765,10
335,US,KBB98,3,5974.85,30
336,US,KBB98,4,6286.19,30
337,US,KBB98,5,6315.84,30
338,US,KBB99,1,6810,5
339,US,KBB99,2,6760,5
340,US,KBB99,3,6825,10
341,US,KBB99,4,6855,10
342,US,KBB99,7,6256.54,30
343,US,KBC21,1,6785,10
344,US,KBC21,3,6735,10
345,US,KBC22,1,6595,10
346,US,KBC22,2,5974.85,30
347,US,KBC22,5,6795,10
348,US,KBC22,8,6093.45,30
349,US,KBC22,8,6152.75,30
350,US,KBC22,9,6595,30
351,US,KBC22,11,6093.45,30
352,US,KBC22,11,6152.75,30
353,US,KBC22,12,5945.2,30
354,US,KBC22,12,6123.1,30
355,US,KBC22,13,6063.8,30
356,US,KBC22,14,6152.75,30
357,US,KBC22,15,6685,30
358,US,KBC22,16,6315.84,30
359,US,KBC41,1,6345.49,30
360,US,KBC41,1,6404.79,30
361,US,KBC81,4,6034.15,30
362,US,KBC81,5,6004.5,30
363,US,KBC81,5,6063.8,30
364,US,KBD20,1,5974.85,30
365,US,KBD88,1,6093.45,30
366,US,KBD88,1,6152.75,30
367,US,KBD88,2,6093.45,30
368,US,KBD88,2,6152.75,30
369,US,KBD96,1,6705,10
370,US,KBD96,4,6315.84,30
371,US,KBE20,5,6635,5
372,US,KBE20,8,6315.84,30
373,US,KBE20,8,6375.14,30
374,US,KBE20,9,6345.49,30
375,US,KBE23,5,6286.19,30
376,US,KBE23,7,6286.19,30
377,US,KBE23,7,6345.49,30
378,US,KBE24,1,6825,10
379,US,KBE24,2,6865,5
380,US,KBE24,5,6226.89,30
381,US,KBE24,5,6286.19,30
382,US,KBE24,6,6197.24,30
383,US,KBE24,6,6256.54,30
384,US,KBE25,3,6705,5
389,US,KBE26,1,6665,10
398,US,KBE33,2,6835,10
399,US,KBE33,3,6615,10
400,US,KBE33,4,6004.5,30
401,US,KBE33,4,6063.8,30
402,US,KBE33,5,5974.85,30
403,US,KBE33,5,6152.75,30
404,US,KBE75,2,6286.19,30
405,US,KBE78,1,5994.62,10
406,US,KBE78,2,6660,5
407,US,KBE78,3,5945.2,30
408,US,KBE84,4,6093.45,30
409,US,KBE84,5,6034.15,30
410,US,KBE84,6,5945.2,30
411,US,KBE85,2,6345.49,30
412,US,KBE86,3,6197.24,30
413,US,KBE86,4,6226.89,30
414,US,KBE87,3,5974.85,30
415,US,KBE87,4,6063.8,30
416,US,KBE93,7,6845,10
417,US,KBE93,10,6815,10
418,US,KBE93,11,5974.85,30
419,US,KBE93,12,5945.2,30
420,US,KBE93,12,6034.15,30
421,US,KBE99,1,6286.19,30
422,US,KBE99,1,6404.79,30
423,US,KBE99,3,6345.49,30
424,US,KBE99,3,6404.79,30
425,US,KBE99,4,6207.12,10
426,US,KBE99,5,6256.54,30
427,US,KBF20,1,6034.15,30
428,US,KBF20,1,6152.75,30
429,US,KBF33,19,6256.54,30
431,US,KBF33,26,6256.54,30
432,US,KBF48,2,6585,10
433,US,KBF48,3,6605,10
434,US,KBF48,4,6845,10
435,US,KBF48,6,6625,10
436,US,KBF48,7,6063.8,30
437,US,KBF69,3,6315.84,30
438,US,KBF69,4,6256.54,30
439,US,KBF87,4,5974.85,30
440,US,KBF87,5,6034.15,30
441,US,KBF87,6,5945.2,30
442,US,KBF88,3,6197.24,30
443,US,KBF88,4,6286.19,30
444,US,KBG29,2,5945.2,30
445,US,KBG63,1,5974.85,30
446,US,KBG63,2,6315.84,30
447,US,KBG63,3,6152.75,30
448,US,KBG63,4,6286.19,30
449,US,KBG63,5,6123.1,30
450,US,KBG63,6,5945.2,30
451,US,KBG64,1,5945.2,30
452,US,KBG64,2,5974.85,30
453,US,KBG64,3,6755.625,3.75
454,US,KBG97,2,6635,10
455,US,KBG98,1,6585,10
456,US,KBG98,2,6605,10
457,US,KBG98,5,6404.79,30
458,US,KBG98,6,6197.24,30
459,US,KBG98,7,6404.79,30
460,US,KBG98,8,6555,30
461,US,KBG99,1,6725,10
462,US,KBG99,2,6695,10
463,US,KBG99,3,6315.84,30
464,US,KBG99,4,6345.49,30
465,US,KBG99,5,6197.24,30
466,US,KBG99,6,6256.54,30
467,US,KBH20,3,6625,10
468,US,KBH20,4,6665,10
469,US,KBH20,5,6815,10
470,US,KBH20,6,6545,10
471,US,KBH20,7,6685,10
472,US,KBH21,1,6855,10
473,US,KBH21,3,6755,10
474,US,KBH21,8,6785,10
475,US,KBH22,1,6595,10
476,US,KBH23,1,6625,10
477,US,KBH23,3,6581.25,2.5
478,US,KBH23,4,6665,10
479,US,KBH23,5,6152.75,30
480,US,KBH24,4,6745,10
481,US,KBH24,7,6815.625,3.75
482,US,KBH24,8,6093.45,30
483,US,KBH24,9,6063.8,30
484,US,KBH24,10,6004.5,30
485,US,KBH24,11,6745,10
486,US,KBH24,12,6404.79,30
487,US,KBH25,3,6745,10
488,US,KBH25,4,6345.49,30
489,US,KBH26,2,6785,10
490,US,KBH26,4,6775,10
491,US,KBH73,1,6795,10
492,US,KBH73,1,6835,10
493,US,KBH73,4,6226.89,30
494,US,KBH73,4,6315.84,30
495,US,KBH73,5,6345.49,30
496,US,KBH73,6,6725,30
497,US,KBH74,3,6635,10
498,US,KBH74,3,6675,10
499,US,KBH74,4,6123.1,30
500,US,KBH74,5,6034.15,30
501,US,KBH74,5,6123.1,30
502,US,KBH74,8,5974.85,30
503,US,KBH74,8,6063.8,30
504,US,KBH74,9,5945.2,30
505,US,KBH74,9,6004.5,30
506,US,KBH74,10,6093.45,30
507,US,KBH74,11,6655,30
508,US,KBH74,12,6555,30
509,US,KBH77,1,6585,10
510,US,KBH77,2,6805,10
511,US,KBH78,1,6625,10
512,US,KBH78,2,6705,10
513,US,KBI49,1,6034.2,30
514,US,KBI49,3,5974.85,30
515,US,KBI49,3,6093.45,30
516,US,KBI89,1,6034.15,30
517,US,KBJ22,5,6034.15,30
518,US,KBJ25,3,6187.36,10
519,US,KBJ26,3,6024.27,10
520,US,KBJ26,4,6555,30
521,US,KBJ26,5,6063.8,30
522,US,KBJ27,4,6725,30
523,US,KBJ83,1,6825,10
524,US,KBJ83,2,6625,10
525,US,KBJ83,5,6685,10
526,US,KBJ83,6,6655,10
527,US,KBJ83,9,6226.89,30
528,US,KBJ83,10,6197.24,30
529,US,KBJ83,10,6286.19,30
530,US,KBJ83,11,6256.54,30
531,US,KBJ83,11,6315.84,30
532,US,KBJ83,12,6345.49,30
533,US,KBK42,1,6825,10
534,US,KBK42,2,6845,10
535,US,KBK42,3,6725,10
536,US,KBK42,4,6765,10
537,US,KBK42,5,6805,10
538,US,KBK42,11,6152.75,30
539,US,KBK42,14,6345.49,30
540,US,KBK62,3,6845.625,3.75
541,US,KBK63,7,6860,5
542,US,KBK63,9,5974.85,10
543,US,KBK63,10,6855,10
544,US,KBK63,11,6165.722,3.75
545,US,KBK63,12,6004.5,10
546,US,KBK63,13,6780.625,3.75
547,US,KBK63,14,6004.5,30
548,US,KBK63,15,6093.45,10
549,US,KBK63,16,6034.15,30
550,US,KBK64,5,6404.79,30
551,US,KBK64,6,6865.625,3.75
552,US,KBK64,7,6785.625,3.75
553,US,KBK64,8,6362.79,5
554,US,KBK67,7,6735.625,3.75
555,US,KBK69,4,6226.89,10
556,US,KBK69,5,6665.625,3.75
557,US,KBK69,6,6550.625,3.75
558,US,KBK70,1,6226.89,30
559,US,KBK70,2,6197.24,30
560,US,KBK72,1,5974.85,30
561,US,KBK72,2,6093.45,30
562,US,KBK72,3,5945.2,30
563,US,KBK72,3,6004.5,30
564,US,KBK72,4,6034.15,30
565,US,KBK72,5,6063.8,30
566,US,KBK72,9,6845,30
567,US,KBL53,1,6226.89,30
568,US,KBL53,2,6345.49,30
569,US,KBL53,4,6404.79,30
570,US,KBL53,5,6286.19,30
571,US,KBL53,6,6655,30
572,US,KBL53,7,6685,30
573,US,KBM53,3,6345.49,30
574,US,KBM53,4,6615,10
575,US,KBM53,7,6256.54,30
576,US,KBM53,8,5945.2,30
577,US,KBM53,9,5974.85,30
578,US,KBM53,10,5945.2,30
579,US,KBM53,11,5974.85,30
580,US,KBM53,12,6315.84,30
581,US,KBM53,12,6404.79,30
582,US,KBM54,1,6226.89,30
583,US,KBM54,2,6375.14,30
584,US,KBM55,1,6845,10
585,US,KBM55,3,6063.8,30
586,US,KBM55,3,6123.1,30
587,US,KBM56,2,6685,10
588,US,KBM56,7,6315.84,30
589,US,KBM56,7,6375.14,30
590,US,KBM56,8,6655,30
591,US,KBM56,9,6685,30
592,US,KBM56,10,6655,30
593,US,KBM56,11,6685,30
594,US,KBM56,12,6665,10
595,US,KBM56,13,6665,10
596,US,KBM56,14,6585,10
597,US,KBM57,4,6775,10
598,US,KBM57,8,6226.89,30
599,US,KBM57,9,6197.24,30
600,US,KBM57,10,6226.89,30
601,US,KBM57,11,6197.24,30
602,US,KBM57,13,6815,30
603,US,KBM57,14,6845,30
604,US,KBM57,15,6815,30
605,US,KBM57,16,6845,30
606,US,KBM58,4,6735,10
607,US,KBM58,5,6805,10
608,US,KBM58,8,6735,10
609,US,KBM58,9,6063.8,30
610,US,KBM58,9,6152.75,30
611,US,KBM58,10,5974.85,30
612,US,KBM58,10,6034.15,30
613,US,KBM58,11,5974.85,30
614,US,KBM58,11,6034.15,30
615,US,KBN37,2,6675.625,3.75
616,US,KBN37,3,6615.625,3.75
617,US,KBN55,2,6004.5,30
618,US,KBN55,2,6123.1,30
619,US,KBN55,3,6123.1,30
620,US,KBN55,4,6004.5,30
621,US,KBN55,5,6004.5,30
622,US,KBN55,5,6123.1,30
623,US,KBN55,6,6004.5,30
624,US,KBN55,6,6123.1,30
625,US,KBO32,1,5974.85,30
626,US,KBO32,2,5945.2,30
627,US,KBO32,3,6063.8,30
628,US,KBO32,4,6152.75,30
629,US,KBO32,5,6595,5
630,US,KBO32,6,6004.5,30
631,US,KBO32,7,6815,30
632,US,KBP63,1,6197.24,10
633,US,KBP63,2,6123.1,30
634,US,KBP63,3,6765,10
635,US,KBP63,4,6123.1,30
636,US,KBP63,5,6775,5
637,US,KBP63,6,6152.75,30
638,US,KBP63,7,6152.75,30
639,US,KBP63,8,5974.85,30
640,US,KBP64,1,6315.84,30
641,US,KBQ62,1,6615,5
642,US,KBQ62,2,6605,10
643,US,KBQ63,1,6605,5
644,US,KBQ63,2,6585,5
645,US,KBQ64,1,6375.14,30
646,US,KBQ64,2,6605,5
647,US,KBQ64,3,6404.79,30
648,US,KBQ64,5,6685,30
649,US,KBQ82,3,5974.85,30
650,US,KBQ82,4,6345.49,30
651,US,KBQ83,3,6093.45,30
652,US,KBQ83,4,6226.89,30
653,US,KBQ84,3,5974.85,30
654,US,KBQ84,4,6004.5,30
655,US,KBQ85,4,6256.54,30
656,US,KBQ85,5,6845,30
657,US,KBQ85,6,6197.24,30
658,US,KBQ87,3,5945.2,30
659,US,KBQ87,4,6093.45,30
660,US,KBQ88,3,6345.49,30
661,US,KBQ88,4,6226.89,30
662,US,KBQ89,4,5974.85,30
663,US,KBQ89,5,6063.8,30
664,US,KBQ89,6,6815,30
665,US,KBQ90,3,6315.84,30
666,US,KBQ90,4,6226.89,30
667,US,KBQ91,6,5974.85,30
668,US,KBQ91,7,5945.2,30
669,US,KBQ91,8,6063.8,30
670,US,KBQ92,4,6197.24,30
671,US,KBQ93,3,6315.84,30
672,US,KBQ93,4,6226.89,30
673,US,KBQ94,2,6345.49,30
674,US,KBQ95,5,5974.85,30
675,US,KBQ95,6,6093.45,30
676,US,KBQ95,7,6034.15,30
677,US,KBQ95,8,5945.2,30
678,US,KBQ96,2,6286.19,30
679,US,KBQ97,4,6197.24,30
680,US,KBQ97,5,6315.84,30
681,US,KBQ97,6,6004.5,30
682,US,KBQ98,2,6063.8,30
683,US,KBQ99,2,6765,10
684,US,KBQ99,6,6845,10
685,US,KBQ99,7,6775,10
686,US,KBQ99,8,6286.19,30
687,US,KBQ99,9,6375.14,30
688,US,KBQ99,10,6226.89,30
689,US,KBQ99,11,6345.49,30
690,US,KBQ99,12,6256.54,30
691,US,KBQ99,13,6315.84,30
692,US,KBQ99,14,6197.24,30
693,US,KBR20,2,6063.8,30
694,US,KBR21,2,5945.2,30
695,US,KBR22,4,6615,10
696,US,KBR22,5,6653.75,2.5
697,US,KBR22,6,6681.25,2.5
698,US,KBR22,7,6004.5,30
699,US,KBR22,8,6063.8,30
700,US,KBR22,9,6034.15,30
701,US,KBR22,10,6123.1,30
702,US,KBR22,11,6555,30
703,US,KBR23,1,6841.25,2.5
704,US,KBR23,2,6766.25,2.5
705,US,KBR23,3,6813.75,2.5
706,US,KBR23,4,6796.25,2.5
707,US,KBR23,5,6725,30
708,US,KBR24,1,6606.25,2.5
709,US,KBR25,1,6653.75,2.5
710,US,KBR26,5,6833.75,2.5
711,US,KBR26,6,6755,30
712,US,KBR26,7,6256.54,30
713,US,KBR26,8,6315.84,30
714,US,KBR28,1,6636.25,2.5
715,US,KBR30,2,6755,30
716,US,KBR31,5,6615,10
717,US,KBR31,6,6646.25,2.5
718,US,KBR31,7,6636.25,2.5
719,US,KBR31,8,6555,30
720,US,KBR31,9,6625,30
721,US,KBR31,10,6595,30
722,US,KBR31,12,6226.89,30
723,US,KBR31,13,6625,30
724,US,KBR31,14,6555,30
725,US,KBR31,15,6595,30
726,US,KBR31,16,6625,30
727,US,KBR31,17,6595,30
728,US,KBR32,1,6825,10
729,US,KBR32,2,6775,10
730,US,KBR32,3,6846.25,2.5
731,US,KBR32,4,6256.54,30
732,US,KBR32,5,6785,30
733,US,KBR32,6,6725,30
734,US,KBR32,7,6785,30
735,US,KBR34,1,6686.25,2.5
736,US,KBR34,2,6555,30
737,US,KBR35,1,6595,10
738,US,KBR35,2,6665,10
739,US,KBR35,3,6063.8,30
740,US,KBR35,4,6004.5,30
741,US,KBR36,1,6815,10
742,US,KBR36,2,6755,10
743,US,KBR36,3,6851.25,2.5
744,US,KBR36,4,6256.54,30
745,US,KBR36,5,6315.84,30
746,US,KBR37,1,6691.25,2.5
747,US,KBR38,2,6655,10
748,US,KBR38,3,6608.75,2.5
749,US,KBR38,4,6565,10
750,US,KBR38,6,6093.45,30
751,US,KBR38,7,6004.5,30
752,US,KBR38,8,6034.15,30
753,US,KBR38,9,5945.2,30
754,US,KBR38,10,6685,30
755,US,KBR40,1,6768.75,2.5
756,US,KBR40,2,6197.24,30
757,US,KBR41,1,6815,10
758,US,KBR41,2,6735,10
759,US,KBR41,3,6845,30
760,US,KBR41,4,6345.49,30
761,US,KBR42,1,6595,10
762,US,KBR42,2,6683.75,2.5
763,US,KBR42,3,6655,10
764,US,KBR42,4,6093.45,30
765,US,KBR42,5,6063.8,30
766,US,KBR42,6,5974.85,30
767,US,KBR43,1,6843.75,2.5
768,US,KBR43,2,6315.84,30
769,US,KBR44,1,6683.75,2.5
770,US,KBR44,2,6063.8,30
771,US,KBR45,2,6843.75,2.5
772,US,KBR45,3,6755,10
773,US,KBR45,4,6226.89,30
774,US,KBR45,5,6315.84,30
775,US,KBR45,6,6404.79,30
776,US,KBR46,7,6665,10
777,US,KBR46,8,6645,10
778,US,KBR46,9,5945.2,30
779,US,KBR46,10,6605,10
780,US,KBR46,11,6152.75,30
781,US,KBR46,12,6123.1,30
782,US,KBR46,13,6004.5,30
783,US,KBR46,14,6004.5,30
784,US,KBR46,15,6034.15,30
785,US,KBR47,3,6197.24,30
786,US,KBR47,4,6375.14,30
787,US,KBR51,2,6345.49,30
788,US,KBR53,2,6063.8,30
789,US,KBR54,5,6813.75,2.5
790,US,KBR54,6,6404.79,30
791,US,KBR54,7,6725,30
792,US,KBR54,8,6345.49,30
793,US,KBR54,9,6226.89,30
794,US,KBR55,1,6653.75,2.5
795,US,KBR56,4,6034.15,30
796,US,KBR56,5,6093.45,30
797,US,KBR56,6,6004.5,30
798,US,KBR57,4,6256.54,30
799,US,KBR57,5,6315.84,30
800,US,KBR57,6,6197.24,30
801,US,KBR58,3,5945.2,30
802,US,KBR58,4,6063.8,30
803,US,KBR60,3,6755,30
804,US,KBR62,4,6315.84,30
805,US,KBR62,4,6375.14,30
806,US,KBR62,6,5974.85,30
807,US,KBR62,7,6845,30
808,US,KBR63,1,6786.25,2.5
809,US,KBR63,2,6815,10
810,US,KBR63,2,6845,10
811,US,KBR64,1,6828.75,2.5
812,US,KBR64,2,6755,30
