regex,Ant Model
PXL *8[-. ?]*65[-./ a-zA-Z0-9()]*,PXL865
PLX *8[-. ?]*65[-./ a-zA-Z0-9()]*,PXL865
[Pp][Xx] *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PX659
[Pp][Xx] *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PX859
[Pp][Xx] *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,PX865
[Pp][Xx] *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,PX1059
RFD *8[xX]?[-. ?]*264BSE[-/ a-zA-Z0-9()]*,RFD8264BSE
SP *6[-. ?]*59[-./ a-zA-Z0-9()]*,SP659
SP *6[-. ?]*64[-./ a-zA-Z0-9()]*,SP664
SP *8[-. ?]*59[-./ a-zA-Z0-9()]*,SP859
85009294001[-./ a-zA-Z0-9()]*,85009294001
85009294002[-./ a-zA-Z0-9()]*,85009294002
85010089021[-./ a-zA-Z0-9()]*,85010089021
85010091006[-./ a-zA-Z0-9()]*,85010091006
85010091007[-./ a-zA-Z0-9()]*,85010091007
85010092021[-./ a-zA-Z0-9()]*,85010092021
A-ANG-6G-6,AANT6G6
A-ANT-6G-6,AANT6G6
A-ANT-6G-6-C,AANT6G6
A-ANT-06G-36-C-A,AANT06G36
A-ANT-06G-48-C-A,AANT06G48
A-ANY-06G-48-C-A,AANT06G48
A-ANT-06G-72-C-A,AANT06G72
A-ANT-06G-96-W-A,AANT06G96
A-ANT-6G-96,AANT06G96
A-ANT-L6G-48-C-R,AANTL6G48
A-ANT-L6G-72-C[-AR]*,AANTL6G72
A-ANT_L6G-96-W-A,AANTL6G96
A-ANT-L6G-96-W-A,AANTL6G96
A-ANT-L6G-96-W-R,AANTL6G96
A-ANT-U6G-72-C-A,AANTU6G72
A-ANT-U6G-72-C,AANTU6G72
A-ANT-U6G-72,AANTU6G72
AD6G-3,AD6G3
AD6G-3-T2,AD6G3
AD6G-3T2,AD6G3
AD6G-4-T2,AD6G4
AD6G-6-T2,AD6G6
AD6G-6-T2CATA,AD6G6
AL *3[-. ?]*6[-./ a-zA-Z0-9()_]*,AL36
AL *4[-. ?]*6[-./ a-zA-Z0-9()]*,AL46
AL6D24HS,AL6D24HS
AM[- ]*3[-. ?]*6[-./ a-zA-Z0-9()]*,AM36
AM[- ]*4[-. ?]*6[-./ a-zA-Z0-9()]*,AM46
ANT0 1\.2 6L HPX,ANT01.26
ANT01\.26UHPX,ANT01.26
ANT0 1\.8 6L HPX,ANT01.86
ANT0 2\.4 6L HPX,ANT02.46
ANT0 2\.4 6U HPX,ANT02.46UHPX
ANT0B3\.06LHPX,ANT0B3.06LHPX
ANT2 1\.2 6L HPX,ANT21.26
ANT2 1\.8 6L HP,ANT21.86
ANT2 1\.8 6L HPX,ANT21.86
ANT2 1\.8 6U HPX,ANT21.86
ANT3_A_1\.2_6L_HP,ANT3A1.26
ANT3 A 1\.2 6L HP,ANT3A1.26
ANT3_A_1\.8_6L_HP,ANT3A1.86
ARC-UHP-MW-6-4,ARCUHPMW64
AU6D24HS,AU6D24HS
DA *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DA1059
DA *10[-. ?]*59W[-./ a-zA-Z0-9()]*,DA1059W
DA *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,DA1065
DA *10[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,DA10W57
DA *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DA1259
DA *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,DA1265
DA *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DA859
DA *8[-. ?]*59W[-./ a-zA-Z0-9()]*,DA859W
DA8-59ASHP-6W,DA859W
DA *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,DA865
DA *8[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,DA8W57
DAX *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DAX1059
DAX *10[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,DAX10W59
DAX *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DAX1259
DAX *12[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,DAX12W59
DAX *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,DAX859
DAX *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,DAX859W
DAX *8[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,DAX8W59
DRFB6[-. ?]*59[-. ?]*CSE,DRFB659CSE
DRFB6[-. ?]*64[-. ?]*BSE,DRFB664BSE
HDX10-59A L MAIN,HDX1059ALMAIN
HDX10-59A MAIN LF,HDX1059AMAINLF
HDX10-59A R MAIN,HDX1059ARMAIN
HDX10-59 MAIN RF,HDX1059MAINRF
HDX10-59 R DIV,HDX1059RDIV
HDX10-59 RF MAINRF,HDX1059RFMAINRF
HDX12-59 RF MAIN,HDX1259RFMAIN
HDX *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HDX859
HP3-6,HP36
HP3-6\.4,HP36.4
HP4-5\.9,HP45.9
HP4-6,HP46
HP4-6\.4,HP46.4
HP6-5\.9,HP65.9
[Hh][Pp] *4[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP459
[Hh][Pp] *4[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HP464
[Hh][Pp] *4[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HP465
[Hh][Pp] *6[-. ?]*57[-./ a-vx-zA-VX-Z0-9()]*,HP657
[Hh][Pp] *6[-. ?]*57W[-./ a-vx-zA-VX-Z0-9()]*,HP657W
[Hh][Pp] *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,HP659
[Hh][Pp] *6[-. ?]*59 *W[-./ a-vx-zA-VX-Z0-9()]*,HP659W
[Hh][Pp] *6[-. ?]*64[-./ a-vx-zA-VX-Z0-9()]*,HP664
[Hh][Pp] *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,HP665
