regex,Ant Model
UKY 220 12/DC12,UKY22012DC12
UKY22012/DC12,UKY22012DC12
UKY 220 12/DC12 R2X,UKY22012DC12
UKY 220 12/DC15,UKY22012DC15
UKY22012/DC15,UKY22012DC15
UKY 220 12/DC15 R3X,UKY22012DC15
UKY 220 12/DC/ R2X,UKY22012DCR2X
UKY 220 12/SC15,UKY22012SC15
UKY22012/SC15,UKY22012SC15
UKY 220 12/SC15_R2X,UKY22012SC15R2X
UKY 220 12/SC15 R2X,UKY22012SC15R2X
UKY22013/DC,UKY22013DC
UKY 220 13/DC12,UKY22013DC12
UKY 220 13/DC12 R3X,UKY22013DC12R3X
UKY 220 13/SC12,UKY22013SC12
UKY22013/SC12,UKY22013SC12
UKY22014/DC12,UKY22014DC12
UMX *10[-. ?]*459[-./ a-vx-zA-VX-Z0-9()]*,UMX10459
UMX *10[-. ?]*6477[-./ a-vx-zA-VX-Z0-9()]*,UMX106477
UMX *12[-. ?]*459[-./ a-vx-zA-VX-Z0-9()]*,UMX12459
UNI3-6,UNI36
UNI3-6-FS3S,UNI36FS3S
UNI4-6,UNI46
UNI4-6-FS3S,UNI46
UNI4-6-RF3S,UNI46
USX *10[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,USX106W
USX *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,USX66W
USX *8[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,USX86W
USX *8[-. ?]*62[-./ a-vx-zA-VX-Z0-9()]*,USX862
UXA *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA1059
UXA *10[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UXA1059W
UXA *10[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UXA1065
UXA *10[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,UXA10U57
UXA *10[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,UXA10W57
UXA *10[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UXA10W59
UXA *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA1259
UXA *12[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UXA1265
UXA *12[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,UXA12U57
UXA *12[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UXA12W59
UXA *4[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA459
UXA *4[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UXA465
UXA *6[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA659
UXA *6[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UXA659W
UXA *6[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UXA665
UXA *6[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,UXA6U57
UXA *6[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,UXA6W57
UXA *6[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UXA6W59
UXA *80[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA8059
UXA *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXA859
UXA *8[-. ?]*59W[-./ a-vx-zA-VX-Z0-9()]*,UXA859W
UXA *8[-. ?]*65[-./ a-vx-zA-VX-Z0-9()]*,UXA865
UXA *8[-. ?]*U57[-./ a-vx-zA-VX-Z0-9()]*,UXA8U57
UXA *8[-. ?]*W57[-./ a-vx-zA-VX-Z0-9()]*,UXA8W57
UXA *8[-. ?]*W59[-./ a-vx-zA-VX-Z0-9()]*,UXA8W59
UXA *8[-. ?]*WA59[-./ a-vx-zA-VX-Z0-9()]*,UXA8WA59
UXH *10[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXH1059
UXH *12[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXH1259
UXH *8[-. ?]*59[-./ a-vx-zA-VX-Z0-9()]*,UXH859
VHLP *3[-. ?]*6W[-./ a-zA-Z0-9()]*,VHLP36W
VHLP *4[-. ?]*6W[-./ a-zA-Z0-9()]*,VHLP46W
VHLP6-6W-4GR/A,VHLP66W4GRA
VHLP *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VHLP66W
VHLPX *3[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VHLPX36W
VHLPX *4[-. ?]*6W[-./ a-zA-Z0-9()]*,VHLPX46W
VHLPX *60[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VHLPX606W
VHLPX6-6W-6WH/A,VHLPX66W6WHA
VHLPX *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VHLPX66W
VHP *4[-. ?]*107[-./ a-vx-zA-VX-Z0-9()]*,VHP4107
VHP *6[-. ?]*107[-./ a-vx-zA-VX-Z0-9()]*,VHP6107
VHPX *10[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VHPX106W
VLHP *6[-. ?]*6W[-./ a-vx-zA-VX-Z0-9()]*,VLHP66W
DBUX12-W60W103ACC,DBUX12W60W
DBUX8-W60W103A,DBUX8W60W
DBUX8-W60W103ACC,DBUX8W60W
DBX8-W60W103ACC_L,DBUX8W60W
N060080L006B,N060080L006B
N060082D128[A]*,N060082D128
N060082D129[A]*,N060082D129
N060082D132[A]*,N060082D132
N060082D151[A]*,N060082D151
N060082D152[A]*,N060082D152
N060082D153[A]*,N060082D153
PTPX-620S-ANT-3,PTPX620S
([Pp][Aa][Ss][Ss][Ii][Vv][Ee][ ]*)?0?6[ ']*[Xx][ ]*8(([Ff][Tt])|([Ff][Oo][Oo][Tt])|')?[-./ a-zA-Z0-9()`]*,6x8
([Pp][Aa][Ss][Ss][Ii][Vv][Ee][ ]*)?0?8[ ']*[Xx][ ]*10(([Ff][Tt])|([Ff][Oo][Oo][Tt])|')?[-./ a-zA-Z0-9()`]*,8x10
0810RF,8x10
2\.4[ ]*m[ ]*[Xx][ ]*3\.0[ ]*m,8x10
([Pp][Aa][Ss][Ss][Ii][Vv][Ee][ ]*)?0?8[ ']*[Xx][ ]*12(([Ff][Tt])|([Ff][Oo][Oo][Tt])|')?[-./ a-zA-Z0-9()`]*,8x12
